Id,Date,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance_x,ModeratelyActiveDistance_x,LightActiveDistance_x,SedentaryActiveDistance_x,VeryActiveMinutes_x,FairlyActiveMinutes_x,LightlyActiveMinutes_x,SedentaryMinutes_x,Calories,SedentaryMinutes_y,LightlyActiveMinutes_y,FairlyActiveMinutes_y,VeryActiveMinutes_y,SedentaryActiveDistance_y,LightActiveDistance_y,ModeratelyActiveDistance_y,VeryActiveDistance_y,StepTotal,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,AverageHeartRate,SleepEfficiency,RiskScore,RiskCategory,FuzzyRiskScore,FuzzyRiskCategory
2026352035,2016-04-17,838,0.519999980926514,0.519999980926514,0.0,0.0,0.0,0.519999980926514,0.0,0,0,60,1053,1214,1053,60,0,0,0.0,0.519999980926514,0.0,0.0,838,1.0,437.0,498.0,68.65625,87.75100401606426,2,Medium Risk,1.6978125000000002,Medium Risk
2026352035,2016-04-25,6017,3.73000001907349,3.73000001907349,0.0,0.0,0.0,3.73000001907349,0.0,0,0,260,821,1576,821,260,0,0,0.0,3.73000001907349,0.0,0.0,6017,1.0,506.0,531.0,99.50581395348836,95.29190207156309,2,Medium Risk,2.191957364341085,High Risk
2026352035,2016-05-02,7018,4.34999990463257,4.34999990463257,0.0,0.0,0.0,4.34999990463257,0.0,0,0,355,716,1690,716,355,0,0,0.0,4.34999990463257,0.0,0.0,7018,1.0,511.0,543.0,84.13457076566125,94.10681399631676,1,Low Risk,1.7583333333333333,Medium Risk
2026352035,2016-05-09,10685,6.61999988555908,6.61999988555908,0.0,0.0,0.0,6.59999990463257,0.0,0,0,401,543,1869,543,401,0,0,0.0,6.59999990463257,0.0,0.0,10685,1.0,531.0,556.0,98.2339008142117,95.50359712230215,2,Medium Risk,2.0516950407105847,High Risk
2347167796,2016-04-13,10352,7.01000022888184,7.01000022888184,0.0,1.6599999666214,1.94000005722046,3.41000008583069,0.0,19,32,195,676,2038,676,195,32,19,0.0,3.41000008583069,1.94000005722046,1.6599999666214,10352,1.0,467.0,531.0,73.81290461804058,87.94726930320151,1,Low Risk,1.5,Medium Risk
2347167796,2016-04-14,10129,6.69999980926514,6.69999980926514,0.0,0.0199999995529652,2.74000000953674,3.94000005722046,0.0,1,48,206,705,2010,705,206,48,1,0.0,3.94000005722046,2.74000000953674,0.0199999995529652,10129,1.0,445.0,489.0,72.57948213700426,91.00204498977506,1,Low Risk,1.5,Medium Risk
2347167796,2016-04-15,10465,6.92000007629395,6.92000007629395,0.0,0.0700000002980232,1.41999995708466,5.42999982833862,0.0,1,24,284,720,2133,720,284,24,1,0.0,5.42999982833862,1.41999995708466,0.0700000002980232,10465,1.0,452.0,504.0,75.68525687977399,89.68253968253968,1,Low Risk,1.5,Medium Risk
2347167796,2016-04-17,5472,3.61999988555908,3.61999988555908,0.0,0.0799999982118607,0.280000001192093,3.25999999046326,0.0,1,7,249,508,1882,508,249,7,1,0.0,3.25999999046326,0.280000001192093,0.0799999982118607,5472,1.0,556.0,602.0,75.36218020022247,92.35880398671095,1,Low Risk,1.54,Medium Risk
2347167796,2016-04-18,8247,5.44999980926514,5.44999980926514,0.0,0.790000021457672,0.860000014305115,3.78999996185303,0.0,11,16,206,678,1944,678,206,16,11,0.0,3.78999996185303,0.860000014305115,0.790000021457672,8247,1.0,500.0,557.0,71.23214476924724,89.76660682226212,1,Low Risk,1.6666666666666665,Medium Risk
2347167796,2016-04-19,6711,4.44000005722046,4.44000005722046,0.0,0.0,0.0,4.44000005722046,0.0,0,7,382,648,2346,648,382,7,0,0.0,4.44000005722046,0.0,0.0,6711,1.0,465.0,514.0,81.30099693251533,90.46692607003892,1,Low Risk,1.5,Medium Risk
